mode,tau,cumulative_innovations_mean,cumulative_innovations_ci_lo,cumulative_innovations_ci_hi,innov_rate_late_mean,innov_rate_late_ci_lo,innov_rate_late_ci_hi,avg_growth_pct_mean,avg_growth_pct_ci_lo,avg_growth_pct_ci_hi,final_gini_wealth_mean,final_gini_wealth_ci_lo,final_gini_wealth_ci_hi,final_gini_income_mean,final_gini_income_ci_lo,final_gini_income_ci_hi,median_income_final_mean,median_income_final_ci_lo,median_income_final_ci_hi,lost_einstein_share_mean,lost_einstein_share_ci_lo,lost_einstein_share_ci_hi,poverty_gated_share_mean,poverty_gated_share_ci_lo,poverty_gated_share_ci_hi,eligible_share_mean,eligible_share_ci_lo,eligible_share_ci_hi,attempt_share_self_mean,attempt_share_self_ci_lo,attempt_share_self_ci_hi,attempt_share_credit_mean,attempt_share_credit_ci_lo,attempt_share_credit_ci_hi,attempt_share_public_mean,attempt_share_public_ci_lo,attempt_share_public_ci_hi,blocked_finance_mean,blocked_finance_ci_lo,blocked_finance_ci_hi,blocked_incentive_mean,blocked_incentive_ci_lo,blocked_incentive_ci_hi,mobility_rank_corr_mean,mobility_rank_corr_ci_lo,mobility_rank_corr_ci_hi,clamp_events_total_mean,clamp_events_total_ci_lo,clamp_events_total_ci_hi,markup_capped_share_mean,markup_capped_share_ci_lo,markup_capped_share_ci_hi,p_capped_share_mean,p_capped_share_ci_lo,p_capped_share_ci_hi,final_h_median_mean,final_h_median_ci_lo,final_h_median_ci_hi,n_replicates
baseline,0.0,122.5,94.20035631595906,150.79964368404094,0.6786666666666666,0.5286988519025176,0.8286344814308156,0.197457429073097,0.17265440598907103,0.22226045215712295,0.8985251631044153,0.8903011950285631,0.9067491311802676,0.8208033523292809,0.8150133030231601,0.8265934016354017,0.3032623225289529,0.29730031221861103,0.3092243328392948,0.9822233333333333,0.9783302044014449,0.9861164622652218,0.36491333333333337,0.36290699467743665,0.3669196719892301,0.13917133333333337,0.1360814201355951,0.14226124653107164,0.0017650000000000003,0.0013794034331483021,0.0021505965668516987,1.2666666666666665e-05,1.9134955937874967e-06,2.3419837739545832e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.13739366666666666,0.1341839908034611,0.14060334252987222,0.663598761998762,0.6578038229756742,0.6693937010218498,113.56666666666666,82.45040558563646,144.68292774769688,0.0,0.0,0.0,0.00010000000000000003,-9.188858848106478e-06,0.00020918885884810653,0.14085437634974465,0.13831645064214876,0.14339230205734055,30
baseline,0.1,824.2666666666667,791.3517395043651,857.1815938289682,4.336666666666667,4.142749627565819,4.530583705767515,0.14650478802432218,0.12242243816376,0.17058713788488436,0.8179357667346925,0.8053506289667028,0.8305209045026821,0.5704866699349858,0.5614412974036488,0.5795320424663227,0.9468126913837006,0.9386591816684238,0.9549662010989775,0.8695800000000001,0.8643152431162877,0.8748447568837125,0.18535866666666667,0.1805923079244325,0.19012502540890083,0.17724233333333334,0.17420877944481408,0.1802758872218526,0.0008240000000000001,0.00046782977821362403,0.001180170221786376,0.00040200000000000007,0.0001450267534654964,0.0006589732465345037,0.022112333333333324,0.022095192696042276,0.022129473970624373,1.8333333333333333e-05,1.0636381655292239e-05,2.6030285011374425e-05,0.038242666666666675,0.03662631147662048,0.03985902185671287,0.4030556642556642,0.3955202008114021,0.4105911276999263,0.0,0.0,0.0,0.0,0.0,0.0,0.00013333333333333337,9.60975068146154e-06,0.0002570569159852052,0.47598653127805257,0.47216840098547813,0.479804661570627,30
baseline,0.2,1637.9333333333334,1603.3164106531362,1672.5502560135305,8.327,8.1152308425309,8.5387691574691,0.1282689311990085,0.1118653829543888,0.1446724794436282,0.7578772408405593,0.7420894852264607,0.7736649964546579,0.41958901290098527,0.40948865219451214,0.4296893736074584,1.4239783784865236,1.4111824485377407,1.4367743084353066,0.7451000000000001,0.7387619652953584,0.7514380347046418,0.08206733333333334,0.07888514988272041,0.08524951678394627,0.29353200000000007,0.2882666317786459,0.2987973682213542,0.00046433333333333347,0.00027423764424501745,0.0006544290224216495,0.00033900000000000005,0.00013626179512745375,0.0005417382048725464,0.04506166666666667,0.04504824163828781,0.045075091695045526,0.00039633333333333334,0.0003366798065454095,0.00045598686012125717,0.14206333333333335,0.13787454228216173,0.14625212438450497,0.2709085345085346,0.2570330895176511,0.2847839794994181,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,0.7615132639746433,0.757659397764548,0.7653671301847385,30
baseline,0.3,2607.133333333333,2584.39497700148,2629.8716896651863,13.076333333333334,12.932188466887785,13.220478199778883,0.14540291115827603,0.13486278339693397,0.15594303891961808,0.7286258724553918,0.7129617716174516,0.744289973293332,0.31235947630754607,0.30781693144308686,0.3169020211720053,1.8174225559248007,1.8028620328317442,1.8319830790178573,0.5214533333333333,0.5157444296755282,0.5271622369911384,0.021152333333333335,0.01966962001789047,0.022635046648776202,0.6899460000000003,0.6864362782778631,0.6934557217221374,0.0001796666666666667,4.738069919742969e-05,0.0003119526341359037,6.3e-05,-2.4563897772446447e-05,0.00015056389777244643,0.06799533333333334,0.06798715518508253,0.06800351148158415,0.005821999999999999,0.005504527286052565,0.006139472713947433,0.5639146666666668,0.5598754761085505,0.5679538572247831,0.19384075344075347,0.18208653908216368,0.20559496779934325,0.0,0.0,0.0,0.0,0.0,0.0,0.0001666666666666667,3.102571623889139e-05,0.000302307617094442,1.0222600614080808,1.0198583675880908,1.0246617552280708,30
baseline,0.4,2340.733333333333,2258.527508041334,2422.9391586253323,11.398666666666667,10.967079005328722,11.830254328004612,0.12369538679782842,0.11313007745032481,0.134260696145332,0.7060074748131099,0.6940999183348189,0.7179150312914009,0.22987485468458363,0.22604444733731605,0.2337052620318512,2.065864373858348,2.0485293554033066,2.08319939231339,0.4638266666666667,0.4446303255306835,0.48302300780264995,0.000796,0.0005922054957933665,0.0009997945042066337,0.9996493333333333,0.9994557704747954,0.9998428961918712,0.0,0.0,0.0,0.0,0.0,0.0,0.05364566666666667,0.051702840158863214,0.05558849317447012,0.019357000000000003,0.018768283159561333,0.019945716840438672,0.9266466666666667,0.9244171787191603,0.9288761546141732,0.20582839982839982,0.19529324037202064,0.216363559284779,0.0,0.0,0.0,0.0,0.0,0.0,0.0001666666666666667,1.6523284994447046e-06,0.00033168100483388867,1.2732850738264365,1.2709024761074303,1.2756676715454427,30
baseline,0.5,1189.6,1134.679736608948,1244.520263391052,5.792666666666666,5.507475292849685,6.0778580404836475,0.09667609503648686,0.08818624123551559,0.10516594883745813,0.6938996361410584,0.6770798283440141,0.7107194439381027,0.1795357476781997,0.17780326757381912,0.18126822778258025,2.223135880533026,2.2079497785505726,2.2383219825154796,0.7655333333333333,0.7550038248777733,0.7760628417888933,2.1666666666666667e-05,-2.079999999999999e-05,6.413333333333332e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02344666666666667,0.022393715821110674,0.02449961751222267,0.009512000000000001,0.00917784535404772,0.009846154645952282,0.9670413333333331,0.9659024177043979,0.9681802489622683,0.15023401503401507,0.138868899138574,0.16159913092945613,0.0,0.0,0.0,0.0,0.0,0.0,0.00013333333333333337,9.60975068146154e-06,0.0002570569159852052,1.511123708168226,1.5095112641276471,1.512736152208805,30
baseline,0.6,457.5,406.0970046134212,508.9029953865788,2.2470000000000003,1.9966278505811847,2.497372149418816,0.07839318422565958,0.07067452809940314,0.08611184035191602,0.6719761279389816,0.661581809117222,0.6823704467607413,0.13781205941672284,0.1364240857948124,0.13920003303863326,2.38396152499851,2.3646816487972933,2.403241401199727,0.92477,0.9162770887443514,0.9332629112556485,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007523000000000001,0.006673708874435146,0.008372291125564856,0.004513666666666667,0.004289906980728066,0.004737426352605267,0.9879633333333332,0.9870847375700558,0.9888419290966106,0.09914245394245394,0.08798864573901301,0.11029626214589487,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,1.7422177747002194,1.7410973332672124,1.7433382161332265,30
no_credit,0.0,135.63333333333333,100.28462709700304,170.9820395696636,0.795,0.5887049632034339,1.001295036796566,0.18916670871841307,0.16276509893973914,0.215568318497087,0.8890923258382579,0.8808136881475356,0.8973709635289803,0.8234578176617394,0.816481902138863,0.8304337331846159,0.30217459855574363,0.29493102515555764,0.30941817195592963,0.9794033333333332,0.9739518023410058,0.9848548643256606,0.36504899999999996,0.3623124551746097,0.3677855448253902,0.13570533333333337,0.132306292006001,0.13910437466066575,0.002059666666666667,0.001514513567433924,0.0026048197658994103,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-07,-6.400000000000002e-07,1.9733333333333336e-06,0.133645,0.13002388072563575,0.13726611927436427,0.6609457009457012,0.6550534190951312,0.6668379827962712,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,0.13949945985260753,0.13566047227775568,0.14333844742745938,30
no_credit,0.1,805.4333333333333,784.1583246123803,826.7083420542863,4.185999999999999,4.071819255845688,4.30018074415431,0.142704154230312,0.12305710982711376,0.16235119863351022,0.8098276289615866,0.7974685753677929,0.8221866825553802,0.5667881134423889,0.5593675221707145,0.5742087047140633,0.9438136674312015,0.9336313072191832,0.9539960276432199,0.8733666666666667,0.8698772094295076,0.8768561239038258,0.18763866666666668,0.1836896771265271,0.19158765620680626,0.17800733333333332,0.1742305050179436,0.18178416164872305,0.0006940000000000002,0.0004137318947946409,0.0009742681052053594,0.0,0.0,0.0,0.02209933333333332,0.02208679787838939,0.022111868788277252,1.466666666666667e-05,6.989820251554144e-06,2.2343513081779197e-05,0.039257,0.037105758168580166,0.041408241831419834,0.40386616826616817,0.3958239892418112,0.4119083472905251,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,0.47774721231572953,0.4740722514748657,0.48142217315659336,30
no_credit,0.2,1615.7666666666667,1592.0390637926805,1639.4942695406528,8.190666666666667,8.071760000000001,8.309573333333333,0.12359481124368024,0.11300282431145134,0.13418679817590914,0.7514817764454018,0.7411174420521283,0.7618461108386754,0.41290367829220337,0.40783231297311784,0.4179750436112889,1.4257357798175576,1.4179827087766335,1.4334888508584818,0.7492966666666666,0.7445542293225781,0.7540391040107551,0.08137499999999999,0.07920068619255605,0.08354931380744393,0.2971946666666666,0.29359270465236753,0.3007966286809657,0.0003293333333333334,0.00011510594791042789,0.0005435607187562389,0.0,0.0,0.0,0.04504966666666665,0.04504223829648706,0.04505709503684623,0.00038399999999999996,0.0003292311470343552,0.0004387688529656447,0.14449533333333334,0.14117542767270258,0.1478152389939641,0.2803355047355048,0.2687434780142231,0.29192753145678646,0.0,0.0,0.0,0.0,0.0,0.0,0.00020000000000000004,2.6719017631551085e-05,0.000373280982368449,0.7648631695915945,0.7622220572336516,0.7675042819495375,30
